label,text
4,"Watching The Powerpuff Girls Movie , my mind kept returning to one anecdote for comparison : the cartoon in Japan that gave people seizures ."
4,"An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences ."
4,If you can swallow its absurdities and crudities Lagaan really is enormously good fun .
1,"Unfortunately , Kapur modernizes A.E.W. Mason 's story to suit the sensibilities of a young American , a decision that plucks `` The Four Feathers '' bare ."
5,... a good film that must have baffled the folks in the marketing department .
1,Crummy .
2,"Much like Robin Williams , Death to Smoochy has already reached its expiration date ."
5,"Enormously enjoyable , high-adrenaline documentary ."
5,The riveting performances by the incredibly flexible cast make Love a joy to behold .
5,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
3,"It 's up to you to decide whether to admire these people 's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of American life ."
5,"If you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular ."
4,"With youthful high spirits , Tautou remains captivating throughout Michele 's religious and romantic quests , and she is backed by a likable cast ."
1,Does n't add up to much .
3,"It 's a good film , but it falls short of its aspiration to be a true ` epic ' ."
5,"Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen ."
5,( A ) devastatingly powerful and astonishingly vivid Holocaust drama .
3,Effective but too-tepid biopic
2,( The film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of Tom Green and the Farrelly Brothers .
5,He nonetheless appreciates the art and reveals a music scene that transcends culture and race .
2,"Wes Craven 's presence is felt ; not the Craven of ' A Nightmare on Elm Street ' or ` The Hills Have Eyes , ' but the sad schlock merchant of ` Deadly Friend . '"
4,"I have always appreciated a smartly written motion picture , and , whatever flaws Igby Goes Down may possess , it is undeniably that ."
4,What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice .
4,"There 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority ."
3,An often unfunny romp .
2,It 's impossible to indulge the fanciful daydreams of Janice Beard ( Eileen Walsh ) when her real-life persona is so charmless and vacant .
4,Superb production values & Christian Bale 's charisma make up for a derivative plot .
3,"A bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract Frank Tashlin comedy and as a playful recapitulation of the artist 's career ."
5,Simply and eloquently articulates the tangled feelings of particular New Yorkers deeply touched by an unprecedented tragedy .
3,Earnest but heavy-handed .
1,An ugly-duckling tale so hideously and clumsily told it feels accidental .
1,"If ever such a dependable concept was botched in execution , this is it ."
2,"... begins with promise , but runs aground after being snared in its own tangled plot ."
2,"If the title is a Jeopardy question , then the answer might be `` How does Steven Seagal come across these days ? ''"
3,"As it stands , there 's some fine sex onscreen , and some tense arguing , but not a whole lot more ."
2,The movie is like Scorsese 's Mean Streets redone by someone who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like Leather Warriors and Switchblade Sexpot .
1,This is one of the biggest disappointments of the year .
4,What `` Empire '' lacks in depth it makes up for with its heart .
3,"The film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in ."
5,It zips along with B-movie verve while adding the rich details and go-for-broke acting that heralds something special .
1,`` Solaris '' is a shapeless inconsequential move relying on the viewer to do most of the work .
2,"... a big , baggy , sprawling carnival of a movie , stretching out before us with little rhyme or reason ."
5,Remarkably accessible and affecting .
1,"I guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen ."
4,"Despite the film 's shortcomings , the stories are quietly moving ."
3,The Marquis de Sade could n't have been as dull a person as this film makes him out to be .
1,Suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as Dahmer demands .
1,Horrible .
2,Report card : Does n't live up to the exalted tagline - there 's definite room for improvement .
2,"An inconsequential , barely there bit of piffle ."
5,"This method almost never fails him , and it works superbly here ."
2,Kapur 's contradictory feelings about his material result in a movie that works against itself .
4,It also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .
2,"A small fortune in salaries and stunt cars might have been saved if the director , Tom Dey , had spliced together bits and pieces of Midnight Run and 48 Hours ( and , for that matter , Shrek ) ."
3,A. . .
3,`` Roger Michell ( '' Notting Hill `` ) directs a morality thriller . ''
1,"A tired , predictable , bordering on offensive , waste of time , money and celluloid ."
5,One of the most slyly exquisite anti-adult movies ever made .
4,Many insightful moments .
3,"Largely , this is a movie that also does it by the numbers ."
4,"It 's mildly entertaining , especially if you find comfort in familiarity ."
2,"`` White Oleander , '' the movie , is akin to a Reader 's Digest condensed version of the source material ."
5,"Though in some ways similar to Catherine Breillat 's Fat Girl , Rain is the far superior film ."
4,"A solid , psychological action film from Hong Kong ."
2,... a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .
5,Those moviegoers who would automatically bypass a hip-hop documentary should give `` Scratch '' a second look .
5,"If you love Motown music , you 'll love this documentary ."
3,New Yorkers always seem to find the oddest places to dwell ...
2,Both deserve better .
5,"Unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck ."
3,"Director Kevin Bray excels in breaking glass and marking off the `` Miami Vice '' checklist of power boats , Latin music and dog tracks ."
4,It 'll keep you wide awake and ... very tense .
2,The laughs are as rare as snake foo yung .
4,"A confluence of kiddie entertainment , sophisticated wit and symbolic graphic design ."
3,Greengrass ( working from Don Mullan 's script ) forgoes the larger socio-political picture of the situation in Northern Ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .
4,a wonderfully warm human drama that remains vividly in memory long after viewing
1,"By the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing ."
3,"Like being trapped inside a huge video game , where exciting , inane images keep popping past your head and the same illogical things keep happening over and over again ."
5,The soundtrack alone is worth the price of admission .
2,The film 's thoroughly recycled plot and tiresome jokes ... drag the movie down .
4,"Culkin , who 's in virtually every scene , shines as a young man who uses sarcastic lies like a shield ."
3,"If you can keep your eyes open amid all the blood and gore , you 'll see Del Toro has brought unexpected gravity to Blade II ."
3,Succeeds only because Bullock and Grant were made to share the silver screen .
4,"In a movie full of surprises , the biggest is that Secret Ballot is a comedy , both gentle and biting ."
5,"The overall result is an intelligent , realistic portrayal of testing boundaries ."
1,An awful snooze .
4,Succeeds as a well-made evocation of a subculture .
3,The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .
2,Stress ` dumb . '
5,This gorgeous epic is guaranteed to lift the spirits of the whole family .
1,The rest of the film ... is dudsville .
1,"They were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn ."
4,"You watch for that sense of openness , the little surprises ."
4,Delivers roughly equal amounts of beautiful movement and inside information .
5,"These three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people ."
5,"It 's a smartly directed , grown-up film of ideas ."
3,When the twist endings were actually surprising ?
5,"An invaluable historical document thanks to the filmmaker 's extraordinary access to Massoud , whose charm , cultivation and devotion to his people are readily apparent ."
4,"Combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched ."
1,A poky and pseudo-serious exercise in sham actor workshops and an affected malaise .
4,Caviezel embodies the transformation of his character completely .
3,"So earnest and well-meaning , and so stocked with talent , that you almost forget the sheer , ponderous awfulness of its script ."
2,"Although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful ."
2,( Denis ' ) bare-bones narrative more closely resembles an outline for a '70s exploitation picture than the finished product .
4,As a randy film about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire ... ( Sex and Lucía ) makes for an arousing good time .
2,"In the end , The Weight of Water comes to resemble the kind of soft-core twaddle you 'd expect to see on Showtime 's ` Red Shoe Diaries . '"
